,time1,T,Td,Wind,Time,WindChill
0,2024-02-20 17:40:00,35.0,9.0,5.0,2024-02-20 18:00:00,31.0
1,2024-02-20 18:40:00,37.0,9.0,6.0,2024-02-20 19:00:00,32.0
2,2024-02-20 20:00:00,38.0,10.0,3.0,2024-02-20 20:00:00,36.0
3,2024-02-20 21:00:00,39.0,10.0,0.0,2024-02-20 21:00:00,
4,2024-02-20 21:40:00,37.0,10.0,5.0,2024-02-20 22:00:00,33.0
5,2024-02-20 23:00:00,35.0,10.0,3.0,2024-02-20 23:00:00,32.0
6,2024-02-21 00:00:00,29.0,11.0,0.0,2024-02-21 00:00:00,
7,2024-02-21 01:00:00,27.0,12.0,0.0,2024-02-21 01:00:00,
8,2024-02-21 02:00:00,25.0,12.0,0.0,2024-02-21 02:00:00,
9,2024-02-21 03:00:00,25.0,13.0,0.0,2024-02-21 03:00:00,
10,2024-02-21 04:00:00,23.0,12.0,0.0,2024-02-21 04:00:00,
11,2024-02-21 05:00:00,21.0,12.0,0.0,2024-02-21 05:00:00,
12,2024-02-21 06:00:00,20.0,12.0,0.0,2024-02-21 06:00:00,
13,2024-02-21 07:00:00,19.0,11.0,0.0,2024-02-21 07:00:00,
14,2024-02-21 08:00:00,20.0,12.0,0.0,2024-02-21 08:00:00,
15,2024-02-21 09:00:00,18.0,13.0,0.0,2024-02-21 09:00:00,
16,2024-02-21 10:00:00,18.0,12.0,0.0,2024-02-21 10:00:00,
17,2024-02-21 11:00:00,17.0,13.0,0.0,2024-02-21 11:00:00,
18,2024-02-21 12:00:00,17.0,12.0,0.0,2024-02-21 12:00:00,
19,2024-02-21 13:00:00,22.0,17.0,0.0,2024-02-21 13:00:00,
20,2024-02-21 14:00:00,30.0,16.0,6.0,2024-02-21 14:00:00,24.0
21,2024-02-21 14:40:00,35.0,14.0,10.0,2024-02-21 15:00:00,27.0
22,2024-02-21 16:00:00,38.0,13.0,15.0,2024-02-21 16:00:00,29.0
23,2024-02-21 17:00:00,41.0,15.0,10.0,2024-02-21 17:00:00,35.0
24,2024-02-21 18:00:00,38.0,15.0,13.0,2024-02-21 18:00:00,30.0
25,2024-02-21 19:00:00,40.0,17.0,13.0,2024-02-21 19:00:00,33.0
26,2024-02-21 20:00:00,41.0,18.0,13.0,2024-02-21 20:00:00,34.0
27,2024-02-21 21:00:00,41.0,20.0,11.0,2024-02-21 21:00:00,34.0
28,2024-02-21 22:00:00,40.0,21.0,10.0,2024-02-21 22:00:00,34.0
29,2024-02-21 23:00:00,38.0,22.0,9.0,2024-02-21 23:00:00,32.0
30,2024-02-22 00:00:00,36.0,23.0,8.0,2024-02-22 00:00:00,30.0
31,2024-02-22 01:00:00,34.0,24.0,8.0,2024-02-22 01:00:00,27.0
32,2024-02-22 02:00:00,33.0,24.0,7.0,2024-02-22 02:00:00,27.0
33,2024-02-22 03:00:00,31.0,25.0,7.0,2024-02-22 03:00:00,24.0
34,2024-02-22 04:00:00,30.0,25.0,7.0,2024-02-22 04:00:00,23.0
35,2024-02-22 05:00:00,30.0,25.0,7.0,2024-02-22 05:00:00,23.0
36,2024-02-22 06:00:00,29.0,25.0,7.0,2024-02-22 06:00:00,22.0
37,2024-02-22 07:00:00,29.0,25.0,7.0,2024-02-22 07:00:00,22.0
38,2024-02-22 08:00:00,28.0,24.0,7.0,2024-02-22 08:00:00,21.0
39,2024-02-22 09:00:00,28.0,24.0,7.0,2024-02-22 09:00:00,21.0
40,2024-02-22 10:00:00,27.0,24.0,7.0,2024-02-22 10:00:00,20.0
41,2024-02-22 11:00:00,27.0,24.0,7.0,2024-02-22 11:00:00,20.0
42,2024-02-22 12:00:00,27.0,24.0,7.0,2024-02-22 12:00:00,20.0
43,2024-02-22 13:00:00,28.0,25.0,8.0,2024-02-22 13:00:00,20.0
44,2024-02-22 14:00:00,31.0,26.0,8.0,2024-02-22 14:00:00,24.0
45,2024-02-22 15:00:00,33.0,27.0,9.0,2024-02-22 15:00:00,25.0
46,2024-02-22 16:00:00,36.0,27.0,9.0,2024-02-22 16:00:00,29.0
47,2024-02-22 17:00:00,38.0,27.0,9.0,2024-02-22 17:00:00,32.0
