,T,Td,Wind,Time,WindChill
0,37.0,31.0,12.0,2024-04-04 17:00:00,29.0
1,37.0,31.0,12.0,2024-04-04 17:40:00,29.0
2,37.0,31.0,15.0,2024-04-04 18:40:00,28.0
3,38.0,31.0,13.0,2024-04-04 19:40:00,30.0
4,38.0,31.0,9.0,2024-04-04 21:20:00,31.0
5,37.0,31.0,7.0,2024-04-04 22:00:00,32.0
6,37.0,31.0,7.0,2024-04-04 23:00:00,32.0
7,36.0,31.0,7.0,2024-04-05 00:00:00,30.0
8,35.0,31.0,6.0,2024-04-05 01:00:00,30.0
9,35.0,31.0,3.0,2024-04-05 02:00:00,32.0
10,35.0,31.0,0.0,2024-04-05 03:00:00,
11,35.0,31.0,5.0,2024-04-05 04:00:00,31.0
12,35.0,31.0,7.0,2024-04-05 05:00:00,29.0
13,34.0,30.0,5.0,2024-04-05 06:00:00,30.0
14,34.0,31.0,0.0,2024-04-05 07:00:00,
15,34.0,31.0,0.0,2024-04-05 07:40:00,
16,34.0,30.0,5.0,2024-04-05 09:00:00,30.0
17,34.0,29.0,12.0,2024-04-05 10:00:00,25.0
18,34.0,28.0,8.0,2024-04-05 11:00:00,27.0
19,36.0,28.0,8.0,2024-04-05 12:00:00,30.0
20,37.0,29.0,17.0,2024-04-05 13:00:00,27.0
21,41.0,30.0,14.0,2024-04-05 14:00:00,33.0
22,39.0,29.0,16.0,2024-04-05 15:00:00,30.0
23,41.0,30.0,15.0,2024-04-05 15:40:00,33.0
24,42.0,30.0,15.0,2024-04-05 17:00:00,34.0
25,44.0,30.0,17.0,2024-04-05 18:00:00,36.0
26,44.0,31.0,17.0,2024-04-05 19:00:00,36.0
27,45.0,31.0,16.0,2024-04-05 20:00:00,38.0
28,43.0,31.0,17.0,2024-04-05 21:00:00,35.0
29,43.0,30.0,16.0,2024-04-05 22:00:00,35.0
30,43.0,31.0,16.0,2024-04-05 23:00:00,35.0
31,40.0,32.0,15.0,2024-04-06 00:00:00,32.0
32,40.0,32.0,14.0,2024-04-06 01:00:00,32.0
33,40.0,32.0,14.0,2024-04-06 02:00:00,32.0
34,39.0,32.0,13.0,2024-04-06 03:00:00,31.0
35,39.0,31.0,11.0,2024-04-06 04:00:00,32.0
36,38.0,31.0,13.0,2024-04-06 05:00:00,30.0
37,36.0,31.0,13.0,2024-04-06 06:00:00,28.0
38,36.0,31.0,11.0,2024-04-06 07:00:00,28.0
39,36.0,31.0,10.0,2024-04-06 08:00:00,29.0
40,35.0,31.0,10.0,2024-04-06 09:00:00,27.0
41,36.0,30.0,11.0,2024-04-06 10:00:00,28.0
42,36.0,30.0,11.0,2024-04-06 11:00:00,28.0
43,36.0,30.0,14.0,2024-04-06 12:00:00,27.0
44,39.0,31.0,14.0,2024-04-06 13:00:00,31.0
45,41.0,30.0,15.0,2024-04-06 14:00:00,33.0
46,42.0,30.0,16.0,2024-04-06 15:00:00,34.0
47,43.0,30.0,15.0,2024-04-06 16:00:00,36.0
