station,name,lat,lon
ALB,Albany,42.748,-73.8026
GFL,Glens Falls,43.3418,-73.605
POU,Poughkeepsie,41.6266,-73.8837
UCA,Utica,43.1433,-75.3837
BTV,Burlington,44.4708,-73.1516
BAF,Westfield,42.1584,-72.7156
BDL,Windsor Locks,41.9389,-72.686
RUT,Rutland,43.5277,-72.9454
ART,Watertown,43.9918,-76.0194
BUF,Buffalo,42.9413,-78.7303
EWR,Newark,40.6895,-74.1745
LGA,La Guardia,40.7733,-73.8718
ROC,Rochester,43.1191,-77.6719
SYR,Syracuse,43.1113,-76.1143
TEB,Teterboro,40.8583,-74.0615
YYZ,Toronto,43.6771,-79.6334
